@relation Amys_Bird_Sanctuary_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Total_Amount numeric

@data
%Date,Total_Amount
2019-09-26,90.0
2019-10-03,140.0
2019-10-10,204.0
2019-10-17,285.6
2019-10-24,245.0
2019-10-31,30.0
2019-11-07,30.0
2019-11-14,51.96
2019-11-21,283.6
2019-11-28,51.96
2019-12-05,210.0
2019-12-12,375.0
2019-12-19,76.5
2019-12-26,70.0
2020-01-02,204.0
2020-01-09,250.0
2020-01-16,76.5
2020-01-23,30.0
2020-01-30,127.5
2020-02-06,250.0
2020-02-13,51.96
2020-02-20,150.0
2020-02-27,81.4
2020-03-05,25.5
2020-03-19,140.0
2020-03-26,120.0
2020-04-02,50.0
2020-04-09,25.5
2020-04-16,38.97
2020-04-23,385.0
2020-04-30,221.5
