@relation Cool_Cars_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Total_Amount numeric

@data
%Date,Total_Amount
2019-09-26,102.0
2019-10-03,260.0
2019-10-10,245.0
2019-10-17,123.96
2019-10-31,60.0
2019-11-07,178.5
2019-11-14,200.0
2019-11-21,140.0
2019-11-28,200.0
2019-12-05,40.0
2019-12-12,106.35
2019-12-19,70.0
2019-12-26,76.5
2020-01-02,105.0
2020-01-09,162.8
2020-01-16,70.0
2020-01-23,80.0
2020-01-30,105.0
2020-02-06,81.4
2020-02-13,101.75
2020-02-20,141.8
2020-02-27,350.0
2020-03-05,220.0
2020-03-12,200.0
2020-03-19,70.9
2020-03-26,120.0
2020-04-02,51.96
2020-04-09,50.0
2020-04-16,50.0
2020-04-23,82.99
2020-04-30,248.15
