@relation Freeman_Sporting_Goods_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Total_Amount numeric

@data
%Date,Total_Amount
2019-09-26,247.92
2019-10-03,105.0
2019-10-10,350.0
2019-10-17,300.0
2019-10-24,122.1
2019-10-31,140.0
2019-11-07,116.91
2019-11-14,283.6
2019-11-21,178.5
2019-11-28,300.0
2019-12-05,140.0
2019-12-12,40.0
2019-12-19,200.0
2019-12-26,116.91
2020-01-02,200.0
2020-01-09,210.0
2020-01-16,35.45
2020-01-23,245.0
2020-01-30,142.45
2020-02-06,70.0
2020-02-13,245.0
2020-02-20,30.0
2020-02-27,35.0
2020-03-05,170.45
2020-03-12,110.75
2020-03-19,40.7
2020-03-26,272.1
2020-04-02,51.0
2020-04-09,70.9
2020-04-16,178.5
2020-04-23,261.0
2020-04-30,200.0
