@relation Gevelber_Photography_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Total_Amount numeric

@data
%Date,Total_Amount
2019-09-26,481.8
2019-10-03,278.91
2019-10-10,225.0
2019-10-17,210.0
2019-10-24,35.45
2019-11-07,81.4
2019-11-14,100.0
2019-11-21,443.0
2019-11-28,141.8
2019-12-12,204.0
2019-12-19,525.0
2019-12-26,200.0
2020-01-02,225.0
2020-01-09,10.0
2020-01-16,300.0
2020-01-23,38.97
2020-01-30,106.35
2020-02-06,70.0
2020-02-13,153.0
2020-02-20,105.0
2020-02-27,40.0
2020-03-05,260.0
2020-03-12,102.0
2020-03-19,25.98
2020-03-26,150.0
2020-04-02,10.0
2020-04-09,300.0
2020-04-16,40.0
2020-04-23,55.980000000000004
2020-04-30,110.75
