@relation Kookies_by_Kathy_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Total_Amount numeric

@data
%Date,Total_Amount
2019-09-26,315.0
2019-10-10,162.5
2019-10-17,204.0
2019-10-24,90.0
2019-10-31,61.05
2019-11-07,140.0
2019-11-14,280.0
2019-11-21,150.0
2019-11-28,60.0
2019-12-05,122.1
2019-12-12,64.95
2019-12-19,60.0
2019-12-26,142.45
2020-01-02,35.0
2020-01-09,332.25
2020-01-16,77.94
2020-01-23,75.0
2020-01-30,60.0
2020-02-13,25.98
2020-02-20,300.0
2020-02-27,35.0
2020-03-05,457.1
2020-03-12,40.0
2020-03-19,51.0
2020-03-26,127.5
2020-04-02,225.0
2020-04-09,25.5
2020-04-16,141.8
2020-04-23,75.0
2020-04-30,110.0
