@relation Paulsen_Medical_Supplies_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Total_Amount numeric

@data
%Date,Total_Amount
2019-10-03,105.0
2019-10-10,127.5
2019-10-17,210.0
2019-10-24,178.5
2019-10-31,225.0
2019-11-07,80.0
2019-11-14,51.96
2019-12-05,177.25
2019-12-12,61.05
2019-12-19,61.05
2019-12-26,70.9
2020-01-02,60.0
2020-01-09,350.0
2020-01-16,51.0
2020-01-23,60.0
2020-01-30,76.5
2020-02-13,77.94
2020-02-20,61.05
2020-03-05,147.6
2020-03-12,105.0
2020-03-19,142.45
2020-03-26,50.0
2020-04-02,35.0
2020-04-09,244.2
2020-04-16,20.35
2020-04-23,74.03999999999999
2020-04-30,70.0
