@relation Pyes_Cakes_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Total_Amount numeric

@data
%Date,Total_Amount
2019-09-26,204.0
2019-10-03,102.0
2019-10-10,240.9
2019-10-17,163.2
2019-10-24,105.0
2019-10-31,106.35
2019-11-07,40.0
2019-11-14,177.25
2019-11-21,60.0
2019-11-28,64.95
2019-12-05,64.95
2019-12-12,122.1
2019-12-19,175.0
2019-12-26,140.0
2020-01-02,153.0
2020-01-09,81.4
2020-01-16,35.0
2020-01-23,40.0
2020-02-13,300.0
2020-02-20,40.7
2020-02-27,101.75
2020-03-05,270.35
2020-03-12,212.7
2020-03-19,12.99
2020-03-26,25.5
2020-03-29,87.5
2020-04-02,140.0
2020-04-09,215.0
2020-04-16,123.74
2020-04-23,127.94
2020-04-30,35.0
