@relation Red_Rock_Diner_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Total_Amount numeric

@data
%Date,Total_Amount
2019-10-17,140.0
2019-10-24,105.0
2019-10-31,82.99
2019-11-07,40.0
2019-11-14,70.9
2019-11-21,35.0
2019-11-28,25.5
2019-12-05,61.05
2019-12-12,102.0
2019-12-19,50.0
2019-12-26,104.95
2020-01-02,20.35
2020-01-09,105.0
2020-01-16,70.0
2020-01-23,30.0
2020-01-30,122.1
2020-02-06,110.75
2020-02-13,81.4
2020-02-27,50.0
2020-03-05,98.28999999999999
2020-03-12,110.75
2020-03-19,10.0
2020-03-26,105.0
2020-04-02,76.5
2020-04-16,35.0
2020-04-23,268.29999999999995
2020-04-30,10.0
