@relation Sushi_by_Katsuyuki_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Total_Amount numeric

@data
%Date,Total_Amount
2019-09-26,354.5
2019-10-03,92.97
2019-10-10,102.0
2019-10-17,185.94
2019-10-24,40.7
2019-10-31,140.0
2019-11-07,102.0
2019-11-14,300.0
2019-11-21,101.75
2019-11-28,10.0
2019-12-05,70.0
2019-12-12,40.0
2019-12-19,443.0
2019-12-26,50.0
2020-01-02,142.45
2020-01-09,75.0
2020-01-16,51.96
2020-01-23,221.5
2020-01-30,12.99
2020-02-06,77.94
2020-02-13,12.99
2020-02-20,40.0
2020-02-27,51.96
2020-03-05,281.5
2020-03-12,20.0
2020-03-19,10.0
2020-03-26,221.5
2020-04-02,250.0
2020-04-09,221.5
2020-04-16,315.0
2020-04-23,38.49
2020-04-30,116.91
