@relation Video_Games_by_Dan_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Total_Amount numeric

@data
%Date,Total_Amount
2019-09-26,122.4
2019-10-03,97.5
2019-10-10,106.35
2019-10-24,64.95
2019-10-31,38.97
2019-11-07,210.0
2019-11-14,12.99
2019-11-21,38.97
2019-11-28,210.0
2019-12-05,40.0
2019-12-12,20.35
2019-12-19,105.0
2019-12-26,142.45
2020-01-02,332.25
2020-01-09,40.0
2020-01-16,221.5
2020-01-23,70.9
2020-01-30,141.8
2020-02-06,50.0
2020-02-13,300.0
2020-02-20,142.45
2020-02-27,35.0
2020-03-05,316.0
2020-03-19,25.5
2020-03-26,120.0
2020-04-02,142.45
2020-04-09,225.0
2020-04-16,75.0
2020-04-23,136.05
2020-04-30,20.35
