@relation Wedding_Planning_by_Whitney_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Total_Amount numeric

@data
%Date,Total_Amount
2019-09-26,106.35
2019-10-03,120.45
2019-10-10,76.5
2019-10-24,127.5
2019-10-31,30.0
2019-11-07,141.8
2019-11-14,76.5
2019-11-21,106.35
2019-11-28,225.0
2019-12-05,178.5
2019-12-12,75.0
2019-12-19,77.94
2019-12-26,75.0
2020-01-02,80.0
2020-01-09,60.0
2020-01-16,50.0
2020-01-23,150.0
2020-01-30,40.0
2020-02-06,142.45
2020-02-13,20.35
2020-02-20,150.0
2020-02-27,30.0
2020-03-05,235.45
2020-03-12,51.96
2020-03-19,20.35
2020-03-26,70.0
2020-04-02,129.9
2020-04-09,25.5
2020-04-16,142.89
2020-04-23,136.75
2020-04-30,76.5
