@relation Concrete_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Quantity numeric

@data
%Date,Quantity
2019-09-26,17.0
2019-10-03,7.0
2019-10-10,12.0
2019-10-17,7.0
2019-10-24,1.0
2019-10-31,3.0
2019-11-07,11.0
2019-11-14,15.0
2019-11-21,11.0
2019-11-28,4.0
2019-12-05,5.0
2019-12-12,3.0
2019-12-19,5.0
2019-12-26,2.0
2020-01-02,3.0
2020-01-09,4.0
2020-01-16,2.0
2020-01-23,2.0
2020-01-30,7.0
2020-02-06,7.0
2020-02-13,2.0
2020-02-20,4.0
2020-02-27,6.0
2020-03-05,8.0
2020-03-12,6.0
2020-03-19,2.0
2020-03-26,5.0
2020-04-02,5.0
2020-04-09,10.0
2020-04-16,4.0
2020-04-23,4.0
2020-04-30,7.0
