@relation Design_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Quantity numeric

@data
%Date,Quantity
2019-09-26,13.0
2019-10-03,7.0
2019-10-10,7.0
2019-10-17,4.0
2019-10-24,4.0
2019-10-31,3.0
2019-11-07,2.0
2019-11-14,8.0
2019-11-21,5.0
2019-11-28,8.0
2019-12-05,3.0
2019-12-12,6.0
2019-12-19,7.0
2019-12-26,5.0
2020-01-02,8.0
2020-01-09,2.0
2020-01-16,4.0
2020-01-23,3.0
2020-01-30,3.0
2020-02-06,3.0
2020-02-13,9.0
2020-02-20,8.0
2020-02-27,8.0
2020-03-05,10.0
2020-03-12,7.0
2020-03-19,4.0
2020-03-26,6.5
2020-04-02,4.0
2020-04-09,8.0
2020-04-16,4.0
2020-04-23,10.0
2020-04-30,2.0
