@relation Gardening_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Quantity numeric

@data
%Date,Quantity
2019-09-26,4.0
2019-10-03,9.0
2019-10-10,5.0
2019-10-17,17.0
2019-10-24,8.0
2019-10-31,12.0
2019-11-07,4.0
2019-11-14,7.0
2019-11-21,10.0
2019-11-28,9.0
2019-12-05,9.0
2019-12-12,10.0
2019-12-19,8.0
2019-12-26,23.0
2020-01-02,9.0
2020-01-09,12.0
2020-01-16,3.0
2020-01-23,2.0
2020-01-30,13.0
2020-02-06,11.0
2020-02-13,10.0
2020-02-20,12.0
2020-02-27,9.0
2020-03-05,15.0
2020-03-12,1.0
2020-03-19,12.0
2020-03-26,12.0
2020-03-27,4.0
2020-04-02,12.0
2020-04-09,4.0
2020-04-16,1.0
2020-04-23,18.0
2020-04-30,4.0
