@relation Installation_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Quantity numeric

@data
%Date,Quantity
2019-09-26,9.0
2019-10-03,8.0
2019-10-10,7.0
2019-10-17,4.0
2019-10-24,5.0
2019-10-31,3.0
2019-11-07,8.0
2019-11-14,4.0
2019-11-21,8.0
2019-11-28,4.0
2019-12-05,6.0
2019-12-12,9.0
2019-12-19,4.0
2019-12-26,5.0
2020-01-02,4.0
2020-01-09,12.0
2020-01-16,4.0
2020-01-23,3.0
2020-01-30,1.0
2020-02-06,6.0
2020-02-13,10.0
2020-02-20,11.0
2020-02-27,8.0
2020-03-05,18.0
2020-03-12,7.0
2020-03-19,4.0
2020-03-26,4.0
2020-04-02,6.0
2020-04-09,5.0
2020-04-16,1.0
2020-04-23,9.0
2020-04-30,4.0
