@relation Lighting_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Quantity numeric

@data
%Date,Quantity
2019-09-26,8.0
2019-10-03,12.0
2019-10-10,16.0
2019-10-17,10.0
2019-10-24,9.0
2019-10-31,7.0
2019-11-07,9.0
2019-11-14,9.0
2019-11-21,6.0
2019-11-28,9.0
2019-12-05,11.0
2019-12-12,5.0
2019-12-19,12.0
2019-12-26,19.0
2020-01-02,4.0
2020-01-09,6.0
2020-01-16,10.0
2020-01-23,3.0
2020-01-30,7.0
2020-02-06,6.0
2020-02-13,13.0
2020-02-20,10.0
2020-02-27,7.0
2020-03-05,12.0
2020-03-12,8.0
2020-03-19,3.0
2020-03-26,6.0
2020-04-02,14.0
2020-04-16,4.0
2020-04-23,12.0
2020-04-30,15.0
