@relation Maintenance_and_Repair_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Quantity numeric

@data
%Date,Quantity
2019-09-26,10.0
2019-10-03,4.0
2019-10-10,8.0
2019-10-17,11.0
2019-10-24,6.0
2019-10-31,6.0
2019-11-07,4.0
2019-11-14,7.0
2019-11-21,4.0
2019-11-28,7.0
2019-12-05,7.0
2019-12-12,7.0
2019-12-19,5.0
2019-12-26,6.0
2020-01-02,5.0
2020-01-09,3.0
2020-01-16,2.0
2020-01-23,6.0
2020-01-30,6.0
2020-02-06,1.0
2020-02-13,1.0
2020-02-20,1.0
2020-02-27,9.0
2020-03-05,9.0
2020-03-12,2.0
2020-03-19,4.0
2020-03-26,4.0
2020-04-02,4.0
2020-04-09,3.0
2020-04-16,4.0
2020-04-23,7.0
2020-04-30,3.0
