@relation Pest_Control_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Quantity numeric

@data
%Date,Quantity
2019-09-26,8.0
2019-10-03,3.0
2019-10-10,7.0
2019-10-17,6.0
2019-10-24,10.0
2019-10-31,15.0
2019-11-07,7.0
2019-11-14,8.0
2019-11-21,5.0
2019-11-28,7.0
2019-12-05,5.0
2019-12-12,2.0
2019-12-19,2.0
2019-12-26,1.0
2020-01-02,3.0
2020-01-09,9.0
2020-01-16,4.0
2020-01-23,11.0
2020-01-30,3.0
2020-02-06,5.0
2020-02-13,1.0
2020-02-20,3.0
2020-02-27,2.0
2020-03-05,19.0
2020-03-12,9.0
2020-03-19,7.0
2020-03-26,6.0
2020-03-29,2.5
2020-04-02,9.0
2020-04-16,11.0
2020-04-23,6.0
2020-04-30,11.0
