@relation Rocks_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Quantity numeric

@data
%Date,Quantity
2019-09-26,12.0
2019-10-03,9.0
2019-10-10,20.0
2019-10-17,11.0
2019-10-24,15.0
2019-10-31,13.0
2019-11-07,12.0
2019-11-14,11.0
2019-11-21,10.0
2019-11-28,1.0
2019-12-05,18.0
2019-12-12,12.0
2019-12-19,11.0
2019-12-26,3.0
2020-01-02,17.0
2020-01-09,2.0
2020-01-16,7.0
2020-01-23,6.0
2020-01-30,8.0
2020-02-06,8.0
2020-02-13,6.0
2020-02-20,9.0
2020-02-27,7.0
2020-03-05,12.0
2020-03-12,12.0
2020-03-19,3.0
2020-03-26,6.0
2020-04-02,5.0
2020-04-09,14.0
2020-04-16,13.0
2020-04-23,4.0
2020-04-30,8.0
