@relation Sod_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Quantity numeric

@data
%Date,Quantity
2019-09-26,2.0
2019-10-03,11.0
2019-10-10,4.0
2019-10-17,4.0
2019-10-24,12.0
2019-10-31,13.0
2019-11-07,15.0
2019-11-14,6.0
2019-11-21,3.0
2019-11-28,10.0
2019-12-05,11.0
2019-12-12,16.0
2019-12-19,6.0
2019-12-26,7.0
2020-01-02,14.0
2020-01-09,5.0
2020-01-16,7.0
2020-01-23,9.0
2020-01-30,13.0
2020-02-06,7.0
2020-02-20,7.0
2020-02-27,7.0
2020-03-05,13.0
2020-03-12,6.0
2020-03-19,4.0
2020-04-02,4.0
2020-04-09,5.0
2020-04-16,9.0
2020-04-23,4.0
2020-04-30,1.0
