@relation Soil_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Quantity numeric

@data
%Date,Quantity
2019-09-26,8.0
2019-10-03,11.0
2019-10-10,5.0
2019-10-17,12.0
2019-10-24,4.0
2019-10-31,6.0
2019-11-07,7.0
2019-11-14,10.0
2019-11-21,11.0
2019-11-28,8.0
2019-12-05,12.0
2019-12-19,10.0
2019-12-26,4.0
2020-01-02,4.0
2020-01-09,13.0
2020-01-16,9.0
2020-01-23,15.0
2020-01-30,6.0
2020-02-06,4.0
2020-02-13,5.0
2020-02-20,5.0
2020-02-27,8.0
2020-03-05,12.0
2020-03-12,6.0
2020-03-19,2.0
2020-04-02,1.0
2020-04-09,10.0
2020-04-16,1.0
2020-04-23,10.0
2020-04-30,2.0
