@relation Trimming_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Quantity numeric

@data
%Date,Quantity
2019-09-26,9.0
2019-10-03,7.0
2019-10-10,6.0
2019-10-17,10.0
2019-10-24,7.0
2019-10-31,2.0
2019-11-07,4.0
2019-11-14,10.0
2019-11-21,4.0
2019-11-28,7.0
2019-12-05,6.0
2019-12-12,4.0
2019-12-19,15.0
2019-12-26,4.0
2020-01-02,1.0
2020-01-09,9.0
2020-01-23,4.0
2020-01-30,8.0
2020-02-06,2.0
2020-02-13,7.0
2020-02-20,7.0
2020-02-27,4.0
2020-03-05,7.0
2020-03-12,3.0
2020-03-19,4.0
2020-03-26,7.0
2020-04-02,8.0
2020-04-09,11.0
2020-04-16,1.0
2020-04-23,11.0
2020-04-30,3.0
