@relation General_Sales
@attribute Date date 'yyyy-MM-dd'
@attribute Total_Amount numeric

@data
%Date,Total_Amount
2019-09-26,2959.57
2019-10-03,2697.03
2019-10-10,4032.39
2019-10-17,2917.35
2019-10-24,2002.66
2019-10-31,1932.98
2019-11-07,1649.26
2019-11-14,2661.61
2019-11-21,2156.39
2019-11-28,1937.3600000000001
2019-12-05,2102.29
2019-12-12,2070.7999999999997
2019-12-19,1842.18
2019-12-26,1772.2600000000002
2020-01-02,2448.71
2020-01-09,2407.1899999999996
2020-01-16,1461.8500000000001
2020-01-23,1665.0700000000002
2020-01-30,1857.63
2020-02-06,1744.69
2020-02-13,2322.02
2020-02-20,2026.15
2020-02-27,1757.5300000000002
2020-03-05,3742.9799999999996
2020-03-12,1754.47
2020-03-19,1375.57
2020-03-26,2597.89
2020-03-27,140.0
2020-03-29,87.5
2020-04-02,1975.8100000000002
2020-04-09,2754.3500000000004
2020-04-16,2001.5
2020-04-23,2951.2299999999996
2020-04-26,313.15
2020-04-30,2040.65
